Title,Note,URL,Tags,Comment
,,,,
Bánh Mì Phượng,My people don’t eat cheese and Banh mi,https://www.google.com/maps/place/B%C3%A1nh+Mi%CC%80+Ph%C6%B0%E1%BB%A3ng/data=!4m2!3m1!1s0x31420dd587dbb975:0xd214dd792e0869d7,,
Bánh mì Hà,Great Banh mi at 25k each. Aunty toasted our Banh mi. We got fresh fried eggs and pork floss. Slaps.,https://www.google.com/maps/place/B%C3%A1nh+m%C3%AC+H%C3%A0/data=!4m2!3m1!1s0x31420d8fdc67219b:0xadf12279c64ba1f9,,
Hadi Coffee,We enjoyed people watching from their outdoor seating. Good salted cream matcha latte. Eric got the lemon coffee - it was not offensive but it was also not something I would strive for in life,https://www.google.com/maps/place/Hadi+Coffee/data=!4m2!3m1!1s0x31420faeb97cf3db:0x5445b54ed755ff8e,,
Bún thịt nướng Bà Trai,Love their Bo la lot (beef with la lot leaves idk English leaf name). Great assortment of vegetables - nice sauce,https://www.google.com/maps/place/B%C3%BAn+th%E1%BB%8Bt+n%C6%B0%E1%BB%9Bng+B%C3%A0+Trai/data=!4m2!3m1!1s0x314218390109add5:0xb8f68fb96c255946,,
Trầm hương thùy duyên.垂缘沉香,Agarwood store - local recommended. Eric got free extra beads for his bracelet. Has jewelry and incense and some sandalwood products too,https://www.google.com/maps/place/Tr%E1%BA%A7m+h%C6%B0%C6%A1ng+th%C3%B9y+duy%C3%AAn.%E5%9E%82%E7%BC%98%E6%B2%89%E9%A6%99/data=!4m2!3m1!1s0x3142178fff1dabfd:0x477bb1bbdd32a195,,
Madam Khanh - The Banh Mi Queen,"Local recommends. Pretty good banh mi (their sauce and pate are nice) Flavor leans more on savory and sweet. Egg sandwich has tomato 🙂‍↕️
Either we got the wrong order or their mild spice is actually very spicy. ",https://www.google.com/maps/place/Madam+Khanh+-+The+Banh+Mi+Queen/data=!4m2!3m1!1s0x31420e7943de2173:0x4296bf40af5321a7,,
Le Ngoc Anh Cosmetics,Lots of Asian beauty (skincare + makeup) - have some western brands as well,https://www.google.com/maps/place/Le+Ngoc+Anh+Cosmetics/data=!4m2!3m1!1s0x314219b60a0caf3f:0xaddb6605cd49fcbd,,
HỦ TIẾU NAM VANG QUỲNH ANH ĐÀ NẴNG,Solid hu tieu - Nam Vang style if you really need a hu tieu fix in Central Vietnam,https://www.google.com/maps/place/H%E1%BB%A6+TI%E1%BA%BEU+NAM+VANG+QU%E1%BB%B2NH+ANH+%C4%90%C3%80+N%E1%BA%B4NG/data=!4m2!3m1!1s0x314219006e6e4709:0x851f327acec553d3,,
Maison Marou Flagship Da Nang,Legit Viet chocolate,https://www.google.com/maps/place/Maison+Marou+Flagship+Da+Nang/data=!4m2!3m1!1s0x3142195f876c5905:0x555c8c52fa099640,,
Pizza 4P's Hoang Van Thu,Great pizza and cheese,https://www.google.com/maps/place/Pizza+4P's+Hoang+Van+Thu/data=!4m2!3m1!1s0x314219ccdf0f40a9:0xd24d1244e66dad46,,
Bánh Xèo Bà Dưỡng,Delicious - but nem nuong (grilled pork) was average,https://www.google.com/maps/place/B%C3%A1nh+X%C3%A8o+B%C3%A0+D%C6%B0%E1%BB%A1ng/data=!4m2!3m1!1s0x314219ca278828ad:0xe50ace1cbe8f6f9f,,
Việt Trầm Hương,,https://www.google.com/maps/place/Vi%E1%BB%87t+Tr%E1%BA%A7m+H%C6%B0%C6%A1ng/data=!4m2!3m1!1s0x31421a19222f73c3:0x99a2b149d6840bcc,,
PHÚ TRỌC TRẦM HƯƠNG - Nguyên Phú AGARWOOD - Trầm Hương Uy Tín Số 1 Đà Nẵng,,https://www.google.com/maps/place/PH%C3%9A+TR%E1%BB%8CC+TR%E1%BA%A6M+H%C6%AF%C6%A0NG+-+Nguy%C3%AAn+Ph%C3%BA+AGARWOOD+-+Tr%E1%BA%A7m+H%C6%B0%C6%A1ng+Uy+T%C3%ADn+S%E1%BB%91+1+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m2!3m1!1s0x3142191cacf83399:0x9a7404e949c8bf66,,
