Title,Note,URL,Tags,Comment
,,,,
Tiệm cà phê Xứ Nam Kỳ,,https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+X%E1%BB%A9+Nam+K%E1%BB%B3/data=!4m2!3m1!1s0x317528a33dcfd689:0xed3139f805df690f,,
OAKSIP Whisky & Cocktails Bar,,https://www.google.com/maps/place/OAKSIP+Whisky+%26+Cocktails+Bar/data=!4m2!3m1!1s0x31752f95389b9575:0xf7f01d11cc13dfa6,,
LEGATO,Bar with Japanese pop and jazz,https://www.google.com/maps/place/LEGATO/data=!4m2!3m1!1s0x317528ad69e45555:0x7cccb66cffe33bbc,,
BAR MITSUBOSHI -バー三ツ星 - Vietnamese Shochu - Japanese Shochu - Whiskey,,https://www.google.com/maps/place/BAR+MITSUBOSHI+-%E3%83%90%E3%83%BC%E4%B8%89%E3%83%84%E6%98%9F+-+Vietnamese+Shochu+-+Japanese+Shochu+-+Whiskey/data=!4m2!3m1!1s0x31752f8df0b973f5:0x7cb3d13a7f74a49d,,
Rabbit Hole,Nice speakeasy with live piano music,https://www.google.com/maps/place/Rabbit+Hole/data=!4m2!3m1!1s0x31752f357731ec9b:0x7c854fbfb38970b9,,
Rabbit Hole,Nice speakeasy with live piano music,https://www.google.com/maps/place/Rabbit+Hole/data=!4m2!3m1!1s0x31752f357731ec9b:0x7c854fbfb38970b9,,
VOTRI - Cabinet of Curiosities,,https://www.google.com/maps/place/VOTRI+-+Cabinet+of+Curiosities/data=!4m2!3m1!1s0x31752f35997424cf:0xa49384fdc862a3a1,,
Ẩm Thực Hải Sản Lộc Huệ,Hang likes stir fried seafood noodles,https://www.google.com/maps/place/%E1%BA%A8m+Th%E1%BB%B1c+H%E1%BA%A3i+S%E1%BA%A3n+L%E1%BB%99c+Hu%E1%BB%87/data=!4m2!3m1!1s0x310a7fcb15a8a041:0xcb258270963a0c14,,
Lẩu cua đồng Cô Út Sa Đéc,Serving hot pot with small crabs from rice paddies (crabs are grounded up and mixed with egg into small patties) - highly recommended if you want to try unique hot pot dish,https://www.google.com/maps/place/L%E1%BA%A9u+cua+%C4%91%E1%BB%93ng+C%C3%B4+%C3%9At+Sa+%C4%90%C3%A9c/data=!4m2!3m1!1s0x310a7f265b65a95f:0xee02ea14d096bd07,,
Sa Dec Night Market,Smaller scale night market due to gov interference - the street by the river has places serving great smoothie and ok hot pot ,https://www.google.com/maps/place/Sa+Dec+Night+Market/data=!4m2!3m1!1s0x310a7e17b4374b95:0x99f14e949c99eb0b,,
Hasaki Beauty & Clinic,Beauty store - has large selection of skin care and smaller collection of makeup,https://www.google.com/maps/place/Hasaki+Beauty+%26+Clinic/data=!4m2!3m1!1s0x310a7fff23df2a5d:0x9527abea53edeb8d,,
Bánh mỳ Anh Thư,Known for delicious savory sticky rice - typically served during breakfast and evening. also has legit banh mi,https://www.google.com/maps/place/B%C3%A1nh+m%E1%BB%B3+Anh+Th%C6%B0/data=!4m2!3m1!1s0x310a7e1689a74e7f:0x1a70de0c57d97ce9,,
